Type of Crime ,     Punjab   ,  Sindh  ,KPK,Balochistan  ,Islamabad ,  Railways   ,    G.B  ,  AJK ,Pakistan,,
2018,,,,,,,,,,,
Murder,4017,1308,2320,352,103,2,76,63,8241,,
Attempt to Murder,5093,1590,2628,348,171,1,89,147,10067,,
Kidnapping /Abduction,14981,3167,1188,269,123,3,38,291,20060,,
Dacocity,793,509,39,28,39,0,2,4,1414,,
Robbery,11128,2959,271,151,351,3,12,39,14914,,
Burglary,11425,1560,823,158,373,0,110,197,14646,,
Cattle Theft,5569,352,155,58,32,0,33,34,6233,,
Other Theft,34572,2636,889,290,574,300,66,91,39418,,
Others,323456,69252,171230,7109,7699,1420,1437,6885,588488,,
TOTAL RECORDED CRIME,411034,83333,179543,"8763
",9465,1729,1863,7751,703481,,
2019,,,,,,,,,,,
Murder,3931,1312,2334,340,89,8,67,72,8153,,
Attempt to Murder,5446,1624,2543,343,203,5,94,180,10438,,
Kidnapping /Abduction,15188,3111,1126,333,176,3,54,265,20256,,
Dacocity,786,502,40,27,20,2,2,3,1382,,
Robbery,14236,3085,353,151,356,8,12,38,18239,,
Burglary,12680,1772,763,219,297,0,139,254,16124,,
Cattle Theft,7060,415,156,47,55,1,24,35,7793,,
Other Theft,50390,3067,906,353,603,348,83,86,55836,,
Others,380596,72274,169888,7649,7949,1505,1508,6747,648118,,
TOTAL RECORDED CRIME,490313,87162,178109,"9462
",9748,1880,1983,7682,786339,,
2020,,,,,,,,,,,
Murder,4127,1350,2384,369,118,2,71,69,8490,,
Attempt to Murder,6195,1820,2910,375,218,4,86,189,11797,,
Kidnapping /Abduction,14593,3308,952,346,175,1,38,245,19658,,
Dacocity,652,573,34,43,12,0,5,,1320,,
Robbery,14489,4584,264,173,319,2,23,50,19904,,
Burglary,12817,2122,727,258,213,1,113,223,16474,,
Cattle Theft,7933,420,141,54,37,2,34,28,8649,,
Other Theft,82581,16270,1813,1379,1461,357,162,337,104360,,
Others,401465,70103,184691,7507,7986,2128,1066,10832,685778,,
TOTAL RECORDED CRIME,544852,100550,193916,10504,10539,2497,1598,11974,876430,,
